date,ISEMACHI_GTRENDS_10.csv_Japan,ISEMACHI_GTRENDS_10.csv_Tokyo,ISEMACHI_GTRENDS_10.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_11.csv_Japan,ISEMACHI_GTRENDS_11.csv_Tokyo,ISEMACHI_GTRENDS_11.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_12.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_13.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_13.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_14.csv_Japan,ISEMACHI_GTRENDS_14.csv_Tokyo,ISEMACHI_GTRENDS_14.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_15.csv_Japan,ISEMACHI_GTRENDS_15.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_15.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_16.csv_Japan,ISEMACHI_GTRENDS_16.csv_Tokyo,ISEMACHI_GTRENDS_16.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_17.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_17.csv_Fukuoka.Prefecture,ISEMACHI_GTRENDS_17.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_1.csv_Japan,ISEMACHI_GTRENDS_1.csv_Tokyo,ISEMACHI_GTRENDS_1.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_1.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_1.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_2.csv_Japan,ISEMACHI_GTRENDS_2.csv_Tokyo,ISEMACHI_GTRENDS_2.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_2.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_3.csv_Japan,ISEMACHI_GTRENDS_3.csv_Tokyo,ISEMACHI_GTRENDS_3.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_4.csv_Japan,ISEMACHI_GTRENDS_4.csv_Tokyo,ISEMACHI_GTRENDS_4.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_5.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_6.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_6.csv_Chiba.Prefecture,ISEMACHI_GTRENDS_6.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_7.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_7.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_8.csv_Japan,ISEMACHI_GTRENDS_8.csv_Tokyo,ISEMACHI_GTRENDS_8.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_8.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_8.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_9.csv_Japan,ISEMACHI_GTRENDS_9.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_9.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_japan_bus&rail_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_hotel&acco_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_touristdestinations_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_travelagencies_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_travel_伊勢.csv_伊勢
2014-05-04,50,46,76,71,89,0,51,63,0,43,38,67,46,0,0,38,33,65,0,0,0,51,42,30,0,81,55,45,0,94,40,32,66,83,100,0,57,61,0,0,63,0,58,60,50,0,77,31,0,0,66,73,69,100,78
2014-05-11,35,34,51,58,72,0,37,43,0,42,36,55,52,0,0,38,30,78,58,0,0,39,34,0,0,60,44,34,0,82,31,28,50,78,85,0,45,58,0,0,41,0,37,39,51,0,41,22,0,0,51,76,59,79,61
2014-05-18,36,32,47,46,65,0,31,0,0,41,34,48,50,0,0,36,33,57,61,0,0,39,35,0,0,50,44,34,0,68,32,24,45,54,72,0,54,63,0,0,51,0,35,36,53,0,41,22,0,0,52,72,55,67,58
2014-05-25,40,36,53,51,70,0,35,0,0,37,30,45,47,0,0,36,26,68,68,0,0,38,31,0,0,55,44,33,0,77,30,24,38,58,71,0,50,59,0,0,52,0,41,38,49,0,52,30,0,0,49,69,59,73,61
2014-06-01,35,29,51,36,67,0,29,0,0,38,32,54,42,0,0,39,30,74,74,0,0,36,29,0,0,58,42,32,0,70,31,23,56,36,71,0,54,68,0,0,58,0,36,34,49,0,48,20,0,0,51,62,57,67,57
2014-06-08,37,33,58,32,67,0,26,0,0,38,32,48,38,0,0,36,26,70,81,0,0,40,33,0,0,62,49,38,0,70,35,29,60,45,72,0,47,78,0,0,60,0,35,32,47,0,49,19,0,0,48,61,58,62,58
2014-06-15,37,39,49,43,67,0,37,0,0,41,33,54,44,0,0,35,28,64,88,0,0,39,35,32,0,56,47,39,0,69,31,28,47,54,61,0,43,45,0,0,61,0,35,37,44,0,45,19,0,0,37,70,56,59,55
2014-06-22,35,34,52,37,84,0,37,0,0,43,44,58,50,0,0,50,42,88,70,0,0,40,36,35,0,63,46,37,0,82,37,34,60,61,76,0,47,60,0,0,62,0,34,36,47,0,40,19,0,0,45,68,60,59,58
2014-06-29,34,32,61,50,100,0,32,0,0,48,38,75,61,0,0,40,28,69,70,0,0,42,34,37,0,60,49,39,0,72,33,27,48,64,79,0,57,64,0,0,63,0,33,29,50,0,44,19,0,0,51,72,58,64,58
2014-07-06,37,34,55,58,75,0,32,0,0,46,37,72,55,0,0,42,36,73,77,0,0,42,37,26,0,66,42,34,0,73,33,28,48,62,79,0,59,51,0,0,58,0,38,37,43,0,52,20,0,0,43,65,58,75,60
2014-07-13,43,43,50,48,81,0,32,60,0,46,43,72,52,0,0,49,44,90,84,0,0,47,41,33,0,71,48,39,0,90,41,36,63,44,71,0,70,67,0,0,66,0,42,42,41,0,56,23,0,0,52,72,65,73,67
2014-07-20,48,42,61,37,65,0,44,58,0,50,46,69,48,0,0,45,39,83,88,0,0,49,43,34,0,77,57,44,0,94,44,40,72,49,73,0,75,90,0,0,71,0,45,45,52,0,54,26,0,0,62,80,68,62,70
2014-07-27,42,39,57,57,67,0,38,58,0,53,47,75,55,0,0,49,43,74,92,0,0,50,43,36,52,70,51,40,0,81,43,39,57,49,64,0,66,80,0,0,62,0,45,46,51,0,54,24,0,0,57,74,69,64,71
