date,KANAZAWA_GTRENDS_10.csv_Japan,KANAZAWA_GTRENDS_10.csv_Kanagawa.Prefecture,KANAZAWA_GTRENDS_10.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_10.csv_Osaka.Prefecture,KANAZAWA_GTRENDS_11.csv_Aichi.Prefecture,KANAZAWA_GTRENDS_11.csv_Chiba.Prefecture,KANAZAWA_GTRENDS_11.csv_Ishikawa.Prefecture,KANAZAWA_GTRENDS_12.csv_Aichi.Prefecture,KANAZAWA_GTRENDS_12.csv_Ishikawa.Prefecture,KANAZAWA_GTRENDS_13.csv_Japan,KANAZAWA_GTRENDS_13.csv_Tokyo,KANAZAWA_GTRENDS_13.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_14.csv_Japan,KANAZAWA_GTRENDS_14.csv_Tokyo,KANAZAWA_GTRENDS_14.csv_Kanagawa.Prefecture,KANAZAWA_GTRENDS_14.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_14.csv_Osaka.Prefecture,KANAZAWA_GTRENDS_15.csv_Aichi.Prefecture,KANAZAWA_GTRENDS_15.csv_Chiba.Prefecture,KANAZAWA_GTRENDS_15.csv_Ishikawa.Prefecture,KANAZAWA_GTRENDS_1.csv_Japan,KANAZAWA_GTRENDS_1.csv_Tokyo,KANAZAWA_GTRENDS_1.csv_Kanagawa.Prefecture,KANAZAWA_GTRENDS_1.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_1.csv_Osaka.Prefecture,KANAZAWA_GTRENDS_2.csv_Japan,KANAZAWA_GTRENDS_2.csv_Tokyo,KANAZAWA_GTRENDS_3.csv_Japan,KANAZAWA_GTRENDS_3.csv_Tokyo,KANAZAWA_GTRENDS_4.csv_Japan,KANAZAWA_GTRENDS_4.csv_Tokyo,KANAZAWA_GTRENDS_4.csv_Kanagawa.Prefecture,KANAZAWA_GTRENDS_4.csv_Osaka.Prefecture,KANAZAWA_GTRENDS_5.csv_Japan,KANAZAWA_GTRENDS_5.csv_Tokyo,KANAZAWA_GTRENDS_5.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_6.csv_Aichi.Prefecture,KANAZAWA_GTRENDS_6.csv_Ishikawa.Prefecture,KANAZAWA_GTRENDS_7.csv_Japan,KANAZAWA_GTRENDS_7.csv_Tokyo,KANAZAWA_GTRENDS_7.csv_Kanagawa.Prefecture,KANAZAWA_GTRENDS_7.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_7.csv_Osaka.Prefecture,KANAZAWA_GTRENDS_8.csv_Japan,KANAZAWA_GTRENDS_8.csv_Tokyo,KANAZAWA_GTRENDS_8.csv_Kanagawa.Prefecture,KANAZAWA_GTRENDS_8.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_8.csv_Osaka.Prefecture,KANAZAWA_GTRENDS_9.csv_Japan,KANAZAWA_GTRENDS_9.csv_Tokyo,KANAZAWA_GTRENDS_9.csv_Saitama.Prefecture,KANAZAWA_GTRENDS_japan_bus&rail_金沢.csv_金沢,KANAZAWA_GTRENDS_japan_hotel&acco_金沢.csv_金沢,KANAZAWA_GTRENDS_japan_touristdestinations_金沢.csv_金沢,KANAZAWA_GTRENDS_japan_travelagencies_金沢.csv_金沢,KANAZAWA_GTRENDS_japan_travel_金沢.csv_金沢
2014-05-04,37,0,0,0,3,0,71,0,56,18,0,0,48,50,47,0,57,2,0,64,28,27,0,0,34,14,0,20,25,26,27,0,32,10,0,0,3,59,46,48,49,0,53,32,32,0,0,37,38,0,0,21,52,51,28,52
2014-05-11,36,0,0,0,3,0,74,0,64,16,0,0,50,50,55,0,54,3,0,61,20,19,0,0,23,11,0,19,0,19,20,0,32,11,0,0,3,49,46,46,59,0,48,35,34,54,0,34,33,0,0,16,49,37,28,46
2014-05-18,38,0,0,0,4,0,66,0,74,14,0,0,51,49,62,0,54,3,0,64,20,21,0,0,20,14,0,17,0,19,21,0,0,15,0,0,3,57,48,45,64,0,50,33,31,53,0,30,39,0,0,20,49,39,27,46
2014-05-25,40,0,0,0,4,0,54,0,56,18,0,0,50,56,62,0,44,3,0,63,21,19,0,0,24,12,0,17,0,19,19,0,0,16,0,0,4,64,46,50,88,0,38,31,31,59,0,30,36,0,0,20,46,36,34,44
2014-06-01,42,0,0,0,4,0,72,0,75,22,0,0,55,53,71,0,61,3,0,76,23,22,0,0,26,16,0,18,0,23,21,0,0,14,0,0,0,54,50,49,61,0,49,35,32,53,0,37,47,72,0,19,47,43,31,46
2014-06-08,44,0,0,0,5,0,70,0,59,20,0,0,49,45,61,0,44,5,0,71,21,20,0,0,22,13,0,16,0,21,22,0,0,15,0,0,0,53,48,45,60,0,44,33,29,48,0,35,40,0,0,19,45,34,33,43
2014-06-15,45,0,0,0,5,0,69,0,61,16,0,0,49,49,54,0,53,4,0,69,22,22,0,0,21,16,0,16,0,19,21,0,0,14,0,0,0,62,46,44,65,0,48,32,32,48,0,27,40,0,0,21,50,33,27,45
2014-06-22,47,0,0,0,5,0,70,0,67,22,0,0,52,51,73,0,55,4,0,56,22,21,0,0,29,14,0,17,0,20,21,0,0,13,0,0,0,70,49,50,67,0,49,34,35,48,0,33,35,0,0,20,49,33,28,43
2014-06-29,36,0,0,0,4,0,58,5,60,22,0,0,56,53,62,0,52,5,7,69,25,24,0,0,21,15,0,23,0,20,20,0,0,17,0,0,0,79,50,49,57,0,46,36,35,48,0,34,44,0,0,22,52,34,43,46
2014-07-06,36,0,0,0,5,0,67,5,59,26,0,0,54,52,67,0,51,5,8,61,24,24,0,0,24,17,0,21,0,20,21,0,0,14,0,0,3,63,48,48,53,0,48,37,35,50,0,34,54,0,0,20,50,35,34,48
2014-07-13,46,0,0,0,5,0,63,4,67,22,0,0,58,55,60,0,64,5,9,60,31,29,0,0,33,15,0,23,32,25,26,0,0,15,0,0,4,60,53,50,59,0,62,40,37,50,0,40,54,0,0,25,61,41,40,55
2014-07-20,43,0,0,0,5,0,73,6,85,20,0,0,58,55,71,0,61,5,7,79,28,26,0,0,35,20,0,23,34,28,22,0,43,17,0,0,5,74,54,53,61,0,52,38,34,56,0,36,44,0,0,28,58,43,33,54
2014-07-27,43,0,0,0,5,0,81,4,86,16,0,0,56,57,66,0,55,5,7,77,30,28,42,0,27,16,0,24,35,27,28,0,37,15,0,0,4,70,52,52,63,0,55,40,38,46,0,44,50,62,0,27,58,41,42,54
