date,SENDAI_GTRENDS_12.csv_Japan,SENDAI_GTRENDS_12.csv_Tokyo,SENDAI_GTRENDS_12.csv_Kanagawa.Prefecture,SENDAI_GTRENDS_12.csv_Saitama.Prefecture,SENDAI_GTRENDS_13.csv_Japan,SENDAI_GTRENDS_13.csv_Tokyo,SENDAI_GTRENDS_13.csv_Kanagawa.Prefecture,SENDAI_GTRENDS_13.csv_Saitama.Prefecture,SENDAI_GTRENDS_14.csv_Japan,SENDAI_GTRENDS_14.csv_Tokyo,SENDAI_GTRENDS_14.csv_Saitama.Prefecture,SENDAI_GTRENDS_1.csv_Japan,SENDAI_GTRENDS_1.csv_Tokyo,SENDAI_GTRENDS_1.csv_Kanagawa.Prefecture,SENDAI_GTRENDS_1.csv_Saitama.Prefecture,SENDAI_GTRENDS_2.csv_Japan,SENDAI_GTRENDS_2.csv_Tokyo,SENDAI_GTRENDS_3.csv_Japan,SENDAI_GTRENDS_3.csv_Tokyo,SENDAI_GTRENDS_3.csv_Saitama.Prefecture,SENDAI_GTRENDS_4.csv_Japan,SENDAI_GTRENDS_4.csv_Tokyo,SENDAI_GTRENDS_4.csv_Saitama.Prefecture,SENDAI_GTRENDS_5.csv_Japan,SENDAI_GTRENDS_5.csv_Tokyo,SENDAI_GTRENDS_5.csv_Saitama.Prefecture,SENDAI_GTRENDS_7.csv_Japan,SENDAI_GTRENDS_7.csv_Tokyo,SENDAI_GTRENDS_7.csv_Kanagawa.Prefecture,SENDAI_GTRENDS_7.csv_Saitama.Prefecture,SENDAI_GTRENDS_8.csv_Japan,SENDAI_GTRENDS_8.csv_Saitama.Prefecture,SENDAI_GTRENDS_9.csv_Japan,SENDAI_GTRENDS_9.csv_Tokyo,SENDAI_GTRENDS_10.csv_V2,SENDAI_GTRENDS_11.csv_V2,SENDAI_GTRENDS_15.csv_V2,SENDAI_GTRENDS_16.csv_V2,SENDAI_GTRENDS_6.csv_V2,SENDAI_GTRENDS_japan_bus&rail_仙台.csv_仙台,SENDAI_GTRENDS_japan_hotel&acco_仙台.csv_仙台,SENDAI_GTRENDS_japan_touristdestinations_仙台.csv_仙台,SENDAI_GTRENDS_japan_travelagencies_仙台.csv_仙台,SENDAI_GTRENDS_japan_travel_仙台.csv_仙台
2014-05-04,39,46,36,0,40,51,0,0,35,53,0,34,44,0,0,34,49,46,56,0,43,54,0,35,58,0,30,40,0,0,0,0,46,63,55,52,68,77,73,61,67,68,67,72
2014-05-11,36,41,40,0,39,45,0,0,26,0,0,30,37,0,0,34,43,44,57,0,24,41,0,37,64,0,21,26,0,0,29,0,27,29,50,47,76,65,67,58,63,44,76,65
2014-05-18,38,47,38,0,40,49,0,0,28,0,0,28,32,0,0,30,38,49,74,0,21,0,0,25,67,0,22,26,0,0,31,0,28,35,60,41,82,84,63,55,68,47,66,67
2014-05-25,35,41,41,0,36,43,0,0,38,0,0,27,29,0,0,33,40,36,73,0,24,0,0,37,70,0,28,30,0,0,33,0,36,42,57,54,73,73,77,64,61,53,87,67
2014-06-01,41,51,38,0,41,53,53,0,46,0,0,30,36,0,0,29,35,49,73,0,23,0,0,44,72,0,26,29,0,0,28,0,34,40,56,54,89,65,67,58,67,51,81,67
2014-06-08,38,45,49,0,40,48,66,0,36,0,0,32,38,0,0,41,48,39,57,0,23,0,0,39,59,0,22,25,0,0,29,0,30,34,57,49,78,70,64,63,65,46,68,70
2014-06-15,36,42,45,0,40,48,51,0,34,0,0,28,35,0,0,31,44,38,67,0,24,0,0,30,60,0,20,22,0,0,29,0,28,31,53,51,78,55,65,60,68,45,68,67
2014-06-22,37,45,49,0,37,48,52,0,35,0,0,30,37,46,0,29,39,45,58,0,30,0,0,36,61,0,22,27,0,0,30,0,30,35,57,46,83,74,70,55,62,46,70,68
2014-06-29,39,44,49,0,42,49,58,0,34,0,0,33,40,46,0,40,51,54,77,0,38,62,0,39,69,0,25,31,0,0,31,0,29,37,59,50,67,61,75,66,68,49,78,72
2014-07-06,41,49,41,0,45,54,47,0,55,0,0,35,46,47,0,34,46,50,74,0,38,63,0,44,58,0,25,30,0,0,31,0,33,36,58,64,93,82,73,58,69,51,86,70
2014-07-13,44,52,52,0,48,59,58,0,36,74,0,37,45,45,0,39,49,46,51,0,39,51,0,45,66,0,27,35,0,0,28,0,32,40,63,50,77,70,92,68,75,59,100,76
2014-07-20,42,53,53,0,41,50,49,0,41,75,0,36,41,40,0,40,57,46,64,0,35,55,0,38,72,0,29,34,44,0,28,0,38,47,66,65,77,65,100,74,73,67,80,77
