date,TOYAMA_GTRENDS_japan_tokyo_travel_富山市.csv_Japan,TOYAMA_GTRENDS_japan_tokyo_travel_富山市.csv_Tokyo
2014-05-04,77,66
2014-05-11,65,59
2014-05-18,46,61
2014-05-25,46,64
2014-06-01,51,67
2014-06-08,69,70
2014-06-15,46,0
2014-06-22,54,0
2014-06-29,56,0
2014-07-06,53,0
2014-07-13,69,0
2014-07-20,67,0
2014-07-27,67,80
2014-08-03,63,82
2014-08-10,83,84
2014-08-17,68,70
2014-08-24,51,72
2014-08-31,59,74
2014-09-07,63,77
2014-09-14,58,0
2014-09-21,49,0
2014-09-28,67,0
2014-10-05,46,0
2014-10-12,51,0
2014-10-19,56,0
2014-10-26,47,0
2014-11-02,48,0
2014-11-09,46,0
2014-11-16,55,0
2014-11-23,54,0
2014-11-30,51,0
2014-12-07,59,68
2014-12-14,58,75
2014-12-21,50,82
2014-12-28,68,89
2015-01-04,64,71
2015-01-11,57,0
2015-01-18,50,0
2015-01-25,54,0
2015-02-01,59,0
2015-02-08,51,0
2015-02-15,62,80
2015-02-22,52,76
2015-03-01,61,76
2015-03-08,73,68
2015-03-15,66,73
2015-03-22,70,78
2015-03-29,45,83
2015-04-05,50,88
2015-04-12,54,93
2015-04-19,70,89
2015-04-26,74,65
2015-05-03,71,74
2015-05-10,66,69
2015-05-17,58,60
2015-05-24,60,64
2015-05-31,69,68
2015-06-07,67,74
2015-06-14,70,81
2015-06-21,57,74
2015-06-28,62,74
2015-07-05,82,74
2015-07-12,66,71
2015-07-19,70,78
2015-07-26,64,84
2015-08-02,97,90
2015-08-09,91,90
2015-08-16,78,90
2015-08-23,80,90
2015-08-30,79,84
2015-09-06,85,71
2015-09-13,100,78
2015-09-20,90,94
2015-09-27,63,0
2015-10-04,58,0
2015-10-11,70,0
2015-10-18,66,0
2015-10-25,77,0
2015-11-01,61,0
2015-11-08,70,0
2015-11-15,59,0
2015-11-22,70,80
2015-11-29,52,0
