date,YUGAWARAMACHI_GTRENDS_1.csv_Japan,YUGAWARAMACHI_GTRENDS_1.csv_Tokyo,YUGAWARAMACHI_GTRENDS_1.csv_Chiba.Prefecture,YUGAWARAMACHI_GTRENDS_2.csv_Japan,YUGAWARAMACHI_GTRENDS_2.csv_Tokyo,YUGAWARAMACHI_GTRENDS_2.csv_Chiba.Prefecture,YUGAWARAMACHI_GTRENDS_2.csv_Saitama.Prefecture,YUGAWARAMACHI_GTRENDS_3.csv_Japan,YUGAWARAMACHI_GTRENDS_3.csv_Chiba.Prefecture,YUGAWARAMACHI_GTRENDS_3.csv_Saitama.Prefecture,YUGAWARAMACHI_GTRENDS_4.csv_Japan,YUGAWARAMACHI_GTRENDS_4.csv_Tokyo,YUGAWARAMACHI_GTRENDS_4.csv_Chiba.Prefecture,YUGAWARAMACHI_GTRENDS_4.csv_Saitama.Prefecture,YUGAWARAMACHI_GTRENDS_5.csv_Japan,YUGAWARAMACHI_GTRENDS_5.csv_Chiba.Prefecture,YUGAWARAMACHI_GTRENDS_5.csv_Saitama.Prefecture,YUGAWARAMACHI_GTRENDS_6.csv_Japan,YUGAWARAMACHI_GTRENDS_6.csv_Tokyo,YUGAWARAMACHI_GTRENDS_6.csv_Chiba.Prefecture,YUGAWARAMACHI_GTRENDS_6.csv_Saitama.Prefecture,YUGAWARAMACHI_GTRENDS_7.csv_Japan,YUGAWARAMACHI_GTRENDS_7.csv_Chiba.Prefecture,YUGAWARAMACHI_GTRENDS_7.csv_Saitama.Prefecture,YUGAWARAMACHI_GTRENDS_japan_touristdestinations_湯河原.csv_Japan,YUGAWARAMACHI_GTRENDS_japan_travel_湯河原.csv_Japan
2014-05-04,10,14,0,15,25,0,0,0,0,0,10,19,0,0,28,0,0,14,19,0,0,12,0,0,42,53
2014-05-11,7,14,0,11,0,0,0,0,0,0,8,0,0,0,30,0,0,10,18,0,0,10,0,0,38,48
2014-05-18,9,12,0,14,0,0,0,0,0,0,8,0,0,0,32,0,0,12,18,0,0,10,0,0,37,45
2014-05-25,11,17,0,12,0,0,0,0,0,0,9,0,0,0,30,0,0,12,19,0,0,10,0,0,37,50
2014-06-01,7,13,0,12,0,0,0,0,0,0,8,0,0,0,30,0,0,10,19,0,0,11,0,0,30,40
2014-06-08,10,14,0,16,0,0,0,0,0,0,10,0,0,0,30,0,0,12,19,0,0,11,0,0,33,46
2014-06-15,11,14,0,15,0,0,0,0,0,0,8,0,0,0,30,0,0,10,19,0,0,11,0,0,38,46
2014-06-22,10,16,0,14,0,0,0,0,0,0,10,0,0,0,30,0,0,14,21,0,0,11,0,0,44,54
2014-06-29,7,14,0,11,0,0,0,0,0,0,9,0,0,0,32,0,0,13,25,0,0,14,0,0,35,51
2014-07-06,10,16,0,12,0,0,0,0,0,0,11,19,0,0,34,0,0,14,22,0,0,10,0,0,40,58
2014-07-13,12,14,0,15,0,0,0,0,0,0,14,19,0,0,36,0,0,20,25,0,0,14,0,0,59,73
2014-07-20,12,15,0,19,25,0,0,0,0,0,17,24,0,0,51,0,0,19,27,0,0,18,0,0,62,78
2014-07-27,11,14,0,18,35,0,0,0,0,0,14,23,0,0,42,0,0,19,26,0,0,16,0,0,63,74
2014-08-03,16,24,0,15,36,0,0,0,0,0,21,29,0,0,64,0,0,26,37,0,0,24,0,0,79,83
